BatchID,cell_line,drug_name,Drug_concentration (microM),viability1,viability2,viability3,viability4,viability5,viability6,mu/muMax,X/X0
1,RPMI7951,MK-8669,0.0034,0.570,0.592,0.573,0.606,0.532,0.512,0.455,0.469
1,RPMI7951,MK-8669,0.01,0.574,0.601,0.603,0.585,0.577,0.571,0.470,0.480
1,SKMEL30,MK-8669,4.50E-06,1.045,0.980,0.940,1.023,1.209,0.966,1.001,1.001
1,SKMEL30,MK-8669,1.40E-05,1.213,0.964,0.922,1.066,0.939,1.058,1.005,1.008
1,SKMEL30,MK-8669,4.00E-05,1.096,0.904,0.859,0.887,1.212,1.077,0.995,0.994
1,SKMEL30,MK-8669,0.00012,1.157,0.941,1.241,1.060,1.279,0.956,1.049,1.071
1,SKMEL30,MK-8669,0.00037,1.090,0.991,0.904,1.047,0.827,0.793,0.974,0.965
1,SKMEL30,MK-8669,0.0011,0.992,0.865,0.984,0.843,0.956,0.902,0.965,0.952
1,SKMEL30,MK-8669,0.0034,0.944,0.874,0.901,0.828,0.645,0.648,0.922,0.898
1,SKMEL30,MK-8669,0.01,0.874,0.954,0.948,0.932,0.764,0.781,0.951,0.934
1,SKMES1,MK-8669,4.50E-06,0.986,1.070,0.899,1.067,0.977,0.991,0.994,0.991
1,SKMES1,MK-8669,1.40E-05,0.982,0.910,0.991,1.040,1.067,1.099,1.008,1.011
1,SKMES1,MK-8669,4.00E-05,0.990,1.034,0.871,1.084,0.925,1.060,1.006,1.009
1,SKMES1,MK-8669,0.00012,0.967,1.057,1.210,1.056,0.981,0.904,1.010,1.014
1,SKMES1,MK-8669,0.00037,1.031,1.051,1.010,1.000,0.845,0.944,1.003,1.004
1,SKMES1,MK-8669,0.0011,0.957,0.972,0.996,0.973,0.924,0.906,0.981,0.974
1,SKMES1,MK-8669,0.0034,0.865,0.883,0.907,0.961,0.798,0.741,0.928,0.905
1,SKMES1,MK-8669,0.01,0.748,0.806,0.854,0.810,0.764,0.748,0.871,0.836
1,SKOV3,MK-8669,4.50E-06,0.919,0.957,1.105,NULL,NULL,NULL,0.975,0.966
1,SKOV3,MK-8669,1.40E-05,0.999,0.961,0.933,NULL,NULL,NULL,0.977,0.969
1,SKOV3,MK-8669,4.00E-05,1.112,0.984,0.959,NULL,NULL,NULL,0.991,0.987
1,SKOV3,MK-8669,0.00012,0.922,0.976,0.829,NULL,NULL,NULL,0.954,0.938
1,SKOV3,MK-8669,0.00037,0.763,1.018,0.678,NULL,NULL,NULL,0.845,0.807
1,SKOV3,MK-8669,0.0011,0.791,0.837,0.816,NULL,NULL,NULL,0.884,0.851
1,SKOV3,MK-8669,0.0034,0.700,0.693,0.674,NULL,NULL,NULL,0.790,0.747
1,SKOV3,MK-8669,0.01,0.737,0.769,0.612,NULL,NULL,NULL,0.825,0.785
1,SW620,MK-8669,4.50E-06,0.951,0.915,1.018,1.025,0.973,1.071,0.998,0.998
1,SW620,MK-8669,1.40E-05,0.923,1.044,1.002,1.124,0.916,0.962,0.993,0.990
1,SW620,MK-8669,4.00E-05,0.945,1.024,1.106,1.094,1.017,0.979,1.008,1.011
1,SW620,MK-8669,0.00012,0.972,1.002,1.141,1.059,0.882,1.055,1.011,1.016
1,SW620,MK-8669,0.00037,0.935,0.997,0.974,0.982,0.862,0.838,0.981,0.975
1,SW620,MK-8669,0.0011,0.787,0.878,0.740,0.912,0.885,0.883,0.949,0.932
1,SW620,MK-8669,0.0034,0.734,0.777,0.766,0.810,0.801,0.709,0.897,0.866
1,SW620,MK-8669,0.01,0.690,0.745,0.743,0.828,0.797,0.861,0.896,0.866
1,SW837,MK-8669,4.50E-06,0.796,1.040,1.012,0.449,1.516,1.047,1.017,1.023
1,SW837,MK-8669,1.40E-05,1.017,1.241,1.005,1.245,0.809,0.975,1.007,1.010
1,SW837,MK-8669,4.00E-05,0.827,1.173,0.890,1.451,1.124,0.809,1.005,1.006
1,SW837,MK-8669,0.00012,0.899,0.210,0.982,0.965,0.769,0.944,0.947,0.929
1,SW837,MK-8669,0.00037,0.982,0.924,0.966,1.716,0.781,0.939,0.968,0.957
1,SW837,MK-8669,0.0011,1.143,0.856,1.187,0.899,0.865,0.932,0.943,0.924
1,SW837,MK-8669,0.0034,0.705,0.780,0.851,0.878,0.727,0.546,0.816,0.775
1,SW837,MK-8669,0.01,0.856,0.825,0.848,1.019,0.889,0.981,0.912,0.885
1,T47D,MK-8669,4.50E-06,0.930,0.987,0.624,1.082,0.771,1.386,0.946,0.928
1,T47D,MK-8669,1.40E-05,1.166,1.089,1.312,1.061,1.236,0.759,1.151,1.234
1,T47D,MK-8669,4.00E-05,0.700,0.979,1.049,1.042,1.030,1.414,1.044,1.063
1,T47D,MK-8669,0.00012,1.093,1.159,1.144,0.992,1.269,1.226,1.179,1.281
1,T47D,MK-8669,0.00037,0.940,0.775,0.871,0.756,0.675,0.867,0.751,0.708
1,T47D,MK-8669,0.0011,0.889,0.824,0.819,0.761,1.018,0.984,0.804,0.763
1,T47D,MK-8669,0.0034,0.849,1.034,0.675,0.541,0.622,0.482,0.452,0.468
1,T47D,MK-8669,0.01,0.664,0.675,0.617,0.781,0.616,0.596,0.437,0.458
1,UACC62,MK-8669,4.50E-06,1.004,0.989,1.070,1.084,1.139,0.954,1.024,1.034
1,UACC62,MK-8669,1.40E-05,1.087,0.988,1.147,1.175,0.859,0.864,1.025,1.035
1,UACC62,MK-8669,4.00E-05,0.966,1.000,1.052,1.125,1.052,0.990,1.017,1.024
1,UACC62,MK-8669,0.00012,1.118,1.040,0.992,1.046,0.851,0.863,1.011,1.015
1,UACC62,MK-8669,0.00037,0.990,0.932,0.955,0.928,0.716,0.696,0.951,0.934
1,UACC62,MK-8669,0.0011,0.862,0.802,0.868,0.793,0.865,0.847,0.894,0.863
1,UACC62,MK-8669,0.0034,0.767,0.722,0.801,0.781,0.621,0.585,0.801,0.759
1,UACC62,MK-8669,0.01,0.696,0.722,0.770,0.824,0.764,0.727,0.802,0.760
1,UWB1289,MK-8669,4.50E-06,0.995,0.967,0.933,0.899,1.039,0.927,0.957,0.942
1,UWB1289,MK-8669,1.40E-05,1.102,1.046,0.967,0.956,0.952,0.927,0.967,0.955
1,UWB1289,MK-8669,4.00E-05,1.016,0.868,0.943,0.947,1.008,0.945,0.953,0.937
1,UWB1289,MK-8669,0.00012,1.030,1.151,0.966,0.928,0.910,0.945,0.962,0.949
1,UWB1289,MK-8669,0.00037,0.654,0.830,0.944,0.974,0.803,0.970,0.899,0.870
1,UWB1289,MK-8669,0.0011,0.726,0.779,0.633,0.712,0.849,0.752,0.746,0.704
1,UWB1289,MK-8669,0.0034,0.522,0.656,0.741,0.726,0.695,0.675,0.682,0.644
1,UWB1289,MK-8669,0.01,0.642,0.626,0.536,0.602,0.538,0.559,0.544,0.532
1,UWB1289BRCA1,MK-8669,4.50E-06,1.005,0.983,0.957,1.018,0.847,1.010,0.996,0.994
1,UWB1289BRCA1,MK-8669,1.40E-05,1.079,0.981,1.067,1.038,0.740,1.015,1.017,1.024
1,UWB1289BRCA1,MK-8669,4.00E-05,1.032,0.985,1.016,1.072,0.734,1.051,1.015,1.021
1,UWB1289BRCA1,MK-8669,0.00012,1.070,0.960,0.983,0.950,0.730,1.006,0.981,0.974
1,UWB1289BRCA1,MK-8669,0.00037,0.931,0.911,0.900,0.901,0.943,0.950,0.947,0.929
1,UWB1289BRCA1,MK-8669,0.0011,0.754,0.825,0.918,0.774,0.899,0.945,0.904,0.876
1,UWB1289BRCA1,MK-8669,0.0034,0.801,0.809,0.819,0.754,0.789,0.751,0.852,0.814
1,UWB1289BRCA1,MK-8669,0.01,0.621,0.748,0.839,0.752,0.702,0.765,0.814,0.773
1,VCAP,MK-8669,4.50E-06,1.084,0.955,1.092,1.143,0.913,0.798,1.018,1.025
1,VCAP,MK-8669,1.40E-05,1.126,1.057,0.998,1.062,1.111,1.051,1.053,1.076
1,VCAP,MK-8669,4.00E-05,1.027,1.030,0.987,0.899,1.066,1.054,1.026,1.036
1,VCAP,MK-8669,0.00012,1.246,1.248,1.063,1.037,0.960,1.056,1.053,1.076
1,VCAP,MK-8669,0.00037,1.104,0.944,1.117,0.990,0.989,0.906,0.990,0.987
1,VCAP,MK-8669,0.0011,1.123,1.042,1.179,0.984,0.961,1.032,1.033,1.047
1,VCAP,MK-8669,0.0034,0.879,0.800,0.930,0.925,0.706,0.736,0.840,0.801
1,VCAP,MK-8669,0.01,0.880,0.898,1.019,0.905,0.844,0.825,0.893,0.862
1,ZR751,MK-8669,4.50E-06,1.034,0.780,0.975,0.942,0.964,0.924,0.942,0.923
1,ZR751,MK-8669,1.40E-05,0.807,1.138,0.878,0.922,0.890,0.790,0.851,0.813
1,ZR751,MK-8669,4.00E-05,1.015,0.793,0.717,1.085,0.749,0.873,0.778,0.736
1,ZR751,MK-8669,0.00012,1.073,0.972,0.788,0.910,0.793,0.873,0.861,0.825
1,ZR751,MK-8669,0.00037,0.661,0.924,1.000,0.740,0.556,0.765,0.656,0.621
1,ZR751,MK-8669,0.0011,0.595,0.766,0.595,0.701,0.570,0.748,0.475,0.483
1,ZR751,MK-8669,0.0034,0.461,0.536,0.560,0.553,0.433,0.478,0.178,0.320
1,ZR751,MK-8669,0.01,0.338,0.464,0.411,0.417,0.410,0.428,-0.066,0.228
1,A2058,MK-8776,0.0019,0.930,1.041,1.061,1.123,1.042,1.166,1.025,1.036
1,A2058,MK-8776,0.0055,0.974,1.068,1.027,1.159,1.066,1.167,1.033,1.047
1,A2058,MK-8776,0.017,0.977,1.051,0.985,1.075,0.981,1.171,1.009,1.013
1,A2058,MK-8776,0.05,1.001,1.032,1.017,1.110,1.019,1.144,1.013,1.018
1,A2058,MK-8776,0.15,0.969,0.963,1.039,1.107,0.988,0.134,0.989,0.985
1,A2058,MK-8776,0.45,0.801,0.901,0.764,0.803,0.841,0.815,0.892,0.862
1,A2058,MK-8776,1.4,0.616,0.664,0.534,0.778,0.606,0.620,0.756,0.713
1,A2058,MK-8776,4,0.065,0.805,0.508,0.757,0.514,0.681,0.739,0.696
1,A2780,MK-8776,0.0019,1.015,0.979,1.055,1.003,1.019,0.974,1.003,1.005
1,A2780,MK-8776,0.0055,1.008,1.030,1.063,1.035,1.089,0.960,1.012,1.017
1,A2780,MK-8776,0.017,0.960,0.994,1.006,0.991,1.042,1.071,1.000,1.000
1,A2780,MK-8776,0.05,0.987,0.985,1.084,0.938,1.009,1.020,0.999,0.999
1,A2780,MK-8776,0.15,0.886,0.946,1.123,1.021,0.882,0.860,0.966,0.954
1,A2780,MK-8776,0.45,0.919,0.913,0.960,0.874,0.897,0.972,0.966,0.954
1,A2780,MK-8776,1.4,0.648,0.693,0.920,0.934,0.798,0.672,0.886,0.854
1,A2780,MK-8776,4,0.716,0.625,0.616,0.668,0.599,0.579,0.815,0.773
1,A375,MK-8776,0.0019,0.938,0.719,1.059,0.997,1.103,1.143,1.013,1.018
1,A375,MK-8776,0.0055,0.967,0.758,1.033,1.015,1.091,1.032,1.011,1.015
1,A375,MK-8776,0.017,0.971,0.788,1.090,1.046,1.154,1.193,1.031,1.045
1,A375,MK-8776,0.05,0.999,0.765,1.040,0.895,1.071,1.038,1.009,1.012
1,A375,MK-8776,0.15,1.037,1.021,1.125,0.913,0.901,0.913,0.984,0.978
1,A375,MK-8776,0.45,0.906,0.898,0.898,0.852,0.921,0.957,0.951,0.934
1,A375,MK-8776,1.4,0.809,0.794,0.828,0.759,0.771,0.744,0.883,0.850
1,A375,MK-8776,4,0.642,0.732,0.624,0.632,0.631,0.603,0.780,0.737
1,A427,MK-8776,0.0019,0.770,1.070,0.925,NULL,NULL,NULL,0.958,0.943
1,A427,MK-8776,0.0055,1.167,1.034,1.057,NULL,NULL,NULL,1.030,1.042
1,A427,MK-8776,0.017,0.925,0.920,1.159,NULL,NULL,NULL,0.958,0.943
1,A427,MK-8776,0.05,1.123,1.046,0.987,NULL,NULL,NULL,1.025,1.035
1,A427,MK-8776,0.15,0.856,1.039,0.631,NULL,NULL,NULL,0.916,0.890
1,A427,MK-8776,0.45,0.775,0.724,0.707,NULL,NULL,NULL,0.825,0.785
1,A427,MK-8776,1.4,0.459,0.599,0.148,NULL,NULL,NULL,0.579,0.558
1,A427,MK-8776,4,0.607,0.491,0.596,NULL,NULL,NULL,0.720,0.678
1,CAOV3,MK-8776,0.0019,1.116,1.025,1.163,1.185,1.075,0.828,1.119,1.180
1,CAOV3,MK-8776,0.0055,1.263,0.992,1.029,1.211,1.395,1.119,1.199,1.317
1,CAOV3,MK-8776,0.017,1.211,1.007,1.140,0.955,0.921,1.033,1.026,1.037
1,CAOV3,MK-8776,0.05,0.930,0.828,1.080,0.894,0.916,1.118,0.896,0.866
1,CAOV3,MK-8776,0.15,0.910,0.597,0.740,0.621,0.587,0.705,0.465,0.476
1,CAOV3,MK-8776,0.45,0.489,0.385,0.704,0.574,0.492,0.584,0.180,0.321
1,CAOV3,MK-8776,1.4,0.617,0.582,0.614,0.605,0.562,0.558,0.320,0.390
1,CAOV3,MK-8776,4,0.667,0.525,0.539,0.642,0.637,0.474,0.308,0.383
1,COLO320DM,MK-8776,0.0019,1.148,1.136,1.161,1.026,1.083,0.881,1.038,1.054
1,COLO320DM,MK-8776,0.0055,0.924,1.126,1.011,0.939,1.341,0.974,0.997,0.996
1,COLO320DM,MK-8776,0.017,1.107,0.993,1.010,0.983,1.043,0.954,1.000,1.001
1,COLO320DM,MK-8776,0.05,0.835,1.057,1.117,0.991,1.062,1.001,1.010,1.014
1,COLO320DM,MK-8776,0.15,0.924,1.039,0.900,1.209,0.855,0.826,0.967,0.955
1,COLO320DM,MK-8776,0.45,1.064,0.850,0.868,1.132,0.894,1.005,0.981,0.975
1,COLO320DM,MK-8776,1.4,0.467,0.618,0.636,0.771,0.707,0.547,0.831,0.792
1,COLO320DM,MK-8776,4,0.424,0.535,0.321,0.428,0.373,0.376,0.670,0.633
1,DLD1,MK-8776,0.0019,1.091,1.028,1.095,1.031,0.968,0.857,1.011,1.016
1,DLD1,MK-8776,0.0055,1.018,1.117,1.137,1.044,0.985,1.080,1.023,1.033
1,DLD1,MK-8776,0.017,1.036,0.911,1.068,1.040,0.911,1.000,1.007,1.009
1,DLD1,MK-8776,0.05,1.071,1.069,1.078,1.144,1.041,1.057,1.026,1.037
1,DLD1,MK-8776,0.15,1.045,1.082,1.076,1.054,0.962,0.911,1.019,1.026
1,DLD1,MK-8776,0.45,1.017,0.973,1.080,1.001,1.098,0.938,1.004,1.005
1,DLD1,MK-8776,1.4,0.998,1.121,0.962,0.869,0.989,0.031,0.990,0.987
1,DLD1,MK-8776,4,1.007,0.781,0.761,0.765,0.915,0.770,0.902,0.873
1,EFM192B,MK-8776,0.0019,0.922,0.915,0.897,1.097,1.009,1.094,0.968,0.957
1,EFM192B,MK-8776,0.0055,1.194,1.040,0.989,0.987,1.217,1.057,1.043,1.061
1,EFM192B,MK-8776,0.017,1.038,1.071,0.998,1.020,1.106,1.004,1.026,1.037
1,EFM192B,MK-8776,0.05,0.977,1.018,1.077,1.096,1.024,1.012,1.019,1.027
1,EFM192B,MK-8776,0.15,0.957,0.892,0.964,1.008,0.991,0.906,0.964,0.951
1,EFM192B,MK-8776,0.45,0.637,0.597,0.550,0.561,0.592,0.571,0.508,0.506
1,EFM192B,MK-8776,1.4,0.423,0.413,0.455,0.564,0.392,0.419,0.216,0.337
1,EFM192B,MK-8776,4,0.600,0.564,0.508,0.509,0.553,0.641,0.471,0.480
1,ES2,MK-8776,0.0019,1.021,1.037,1.045,1.135,1.144,1.144,1.042,1.060
1,ES2,MK-8776,0.0055,1.050,1.128,1.051,1.033,1.034,1.089,1.024,1.034
1,ES2,MK-8776,0.017,1.062,1.099,1.028,1.060,1.073,1.094,1.032,1.045
1,ES2,MK-8776,0.05,1.019,1.042,1.042,1.057,1.218,0.984,1.020,1.028
1,ES2,MK-8776,0.15,1.065,1.068,0.992,1.066,0.897,0.939,1.014,1.019
1,ES2,MK-8776,0.45,0.767,0.841,0.407,0.650,0.536,0.552,0.751,0.708
1,ES2,MK-8776,1.4,0.169,0.211,0.110,0.273,0.157,0.154,0.112,0.292
1,ES2,MK-8776,4,0.129,0.133,0.101,0.158,0.082,0.140,0.006,0.252
1,HCT116,MK-8776,0.0019,1.042,0.967,1.038,1.029,0.958,1.070,1.016,1.023
1,HCT116,MK-8776,0.0055,1.025,0.956,0.988,0.965,0.956,0.947,0.980,0.973
1,HCT116,MK-8776,0.017,0.957,0.985,1.025,1.044,0.977,1.041,1.002,1.003
1,HCT116,MK-8776,0.05,1.009,0.978,1.106,0.900,0.949,0.977,0.989,0.985
1,HCT116,MK-8776,0.15,1.022,1.017,1.081,0.980,0.950,0.882,0.999,0.999
1,HCT116,MK-8776,0.45,1.007,1.005,1.011,0.917,0.978,1.017,1.003,1.004
1,HCT116,MK-8776,1.4,1.025,0.950,0.985,0.935,0.893,0.907,0.971,0.960
1,HCT116,MK-8776,4,0.922,0.936,0.833,0.776,0.810,0.820,0.906,0.878
1,HT144,MK-8776,0.0019,1.029,0.992,1.083,1.047,1.010,0.943,1.014,1.020
1,HT144,MK-8776,0.0055,1.024,1.001,1.089,0.986,1.052,1.107,1.028,1.039
1,HT144,MK-8776,0.017,1.052,1.034,1.067,1.065,1.037,0.995,1.032,1.045
1,HT144,MK-8776,0.05,0.972,0.939,1.035,1.052,1.068,1.016,1.018,1.026
1,HT144,MK-8776,0.15,0.983,1.073,1.048,1.001,0.952,0.878,0.994,0.992
1,HT144,MK-8776,0.45,0.825,0.946,0.700,0.777,0.805,0.827,0.850,0.812
1,HT144,MK-8776,1.4,0.614,0.687,0.718,0.742,0.623,0.810,0.742,0.699
1,HT144,MK-8776,4,0.664,0.707,0.647,0.681,0.637,0.658,0.697,0.657
1,HT29,MK-8776,0.0019,0.969,1.124,1.084,1.050,1.036,0.982,1.018,1.026
1,HT29,MK-8776,0.0055,0.946,1.007,1.013,1.139,1.081,1.161,1.020,1.028
1,HT29,MK-8776,0.017,1.049,1.072,1.112,1.092,0.980,0.999,1.026,1.036
1,HT29,MK-8776,0.05,0.896,1.096,0.957,1.158,1.139,0.979,1.016,1.023
1,HT29,MK-8776,0.15,0.932,1.053,0.403,1.023,0.943,0.953,0.977,0.968
1,HT29,MK-8776,0.45,0.747,0.990,0.587,0.937,0.878,0.926,0.955,0.940
1,HT29,MK-8776,1.4,0.539,0.557,0.315,0.717,0.637,0.631,0.772,0.729
1,HT29,MK-8776,4,0.482,0.546,0.344,0.456,0.470,0.494,0.675,0.638
1,KPL1,MK-8776,0.0019,0.976,1.035,1.021,1.221,1.049,1.018,1.019,1.027
1,KPL1,MK-8776,0.0055,1.089,1.126,1.259,1.061,1.171,0.952,1.070,1.102
1,KPL1,MK-8776,0.017,1.044,0.942,1.016,1.058,1.096,1.098,1.034,1.048
1,KPL1,MK-8776,0.05,0.991,0.977,0.973,1.033,1.149,0.883,0.989,0.985
1,KPL1,MK-8776,0.15,0.908,0.757,0.886,0.846,0.769,0.751,0.853,0.816
1,KPL1,MK-8776,0.45,0.639,0.691,0.818,0.850,0.702,0.769,0.788,0.746
1,KPL1,MK-8776,1.4,0.778,0.707,0.741,0.707,0.711,0.748,0.780,0.737
1,KPL1,MK-8776,4,0.681,0.624,0.605,0.585,0.546,0.557,0.643,0.610
1,LNCAP,MK-8776,0.0019,0.857,0.981,1.021,1.281,1.354,0.799,1.001,1.001
1,LNCAP,MK-8776,0.0055,1.199,0.777,1.187,0.053,0.990,1.187,1.052,1.074
1,LNCAP,MK-8776,0.017,0.961,0.892,0.908,0.670,0.753,1.330,0.935,0.914
1,LNCAP,MK-8776,0.05,0.794,1.157,0.836,0.957,0.849,1.123,0.937,0.917
1,LNCAP,MK-8776,0.15,0.895,1.196,1.000,1.091,0.724,0.669,0.967,0.955
1,LNCAP,MK-8776,0.45,1.180,0.023,1.118,1.099,0.949,1.211,1.063,1.091
1,LNCAP,MK-8776,1.4,0.562,0.710,0.500,0.702,0.661,0.139,0.699,0.658
1,LNCAP,MK-8776,4,0.736,0.460,0.846,0.585,0.517,0.656,0.708,0.667
1,LOVO,MK-8776,0.0019,0.916,0.987,1.074,0.963,0.829,1.066,0.988,0.983
1,LOVO,MK-8776,0.0055,1.044,1.014,0.761,0.976,1.124,1.036,1.012,1.017
1,LOVO,MK-8776,0.017,0.925,0.849,1.066,0.984,0.899,1.176,0.977,0.969
1,LOVO,MK-8776,0.05,0.817,1.032,0.860,1.054,1.172,1.149,1.020,1.028
1,LOVO,MK-8776,0.15,0.707,0.804,0.733,0.799,0.728,0.668,0.849,0.811
1,LOVO,MK-8776,0.45,0.418,0.429,0.255,0.384,0.233,0.262,0.456,0.471
1,LOVO,MK-8776,1.4,0.164,0.248,0.191,0.248,0.180,0.165,0.189,0.325
1,LOVO,MK-8776,4,0.189,0.313,0.140,0.244,0.206,0.210,0.245,0.351
1,MDAMB436,MK-8776,0.0019,0.961,1.098,1.017,1.196,1.060,0.954,1.021,1.030
1,MDAMB436,MK-8776,0.0055,1.176,1.105,1.118,1.005,1.038,0.989,1.039,1.055
1,MDAMB436,MK-8776,0.017,0.989,1.052,1.138,1.064,1.002,1.037,1.024,1.034
1,MDAMB436,MK-8776,0.05,1.060,0.965,1.137,1.051,0.997,1.043,1.026,1.036
1,MDAMB436,MK-8776,0.15,0.931,1.047,1.004,0.960,0.799,0.783,0.968,0.957
1,MDAMB436,MK-8776,0.45,0.692,0.703,0.646,0.672,0.667,0.699,0.786,0.743
1,MDAMB436,MK-8776,1.4,0.506,0.499,0.447,0.466,0.496,0.384,0.591,0.567
1,MDAMB436,MK-8776,4,0.460,0.403,0.358,0.448,0.457,0.395,0.522,0.515
1,MSTO,MK-8776,0.0019,0.895,1.132,0.977,1.193,0.970,1.139,1.022,1.031
1,MSTO,MK-8776,0.0055,0.933,1.082,0.913,1.115,1.025,1.014,1.008,1.011
1,MSTO,MK-8776,0.017,0.909,1.246,0.894,1.213,1.019,1.452,1.046,1.066
1,MSTO,MK-8776,0.05,0.911,1.391,0.823,1.177,0.871,1.317,1.018,1.025
1,MSTO,MK-8776,0.15,0.948,1.326,0.522,1.030,0.856,1.244,0.995,0.993
1,MSTO,MK-8776,0.45,0.836,0.790,0.932,0.282,0.946,1.409,0.948,0.931
1,MSTO,MK-8776,1.4,0.073,0.082,0.112,0.070,0.117,0.076,-0.068,0.228
1,MSTO,MK-8776,4,0.044,0.024,0.035,0.033,0.033,0.042,-0.416,0.140
1,NCIH1650,MK-8776,0.0019,1.042,1.181,1.059,0.948,0.894,0.941,0.996,0.994
1,NCIH1650,MK-8776,0.0055,1.126,1.163,1.041,1.036,1.080,1.016,1.046,1.065
1,NCIH1650,MK-8776,0.017,1.018,1.073,1.034,1.104,1.017,0.934,1.020,1.028
1,NCIH1650,MK-8776,0.05,1.091,1.075,1.022,1.019,0.991,1.025,1.018,1.025
1,NCIH1650,MK-8776,0.15,1.000,0.991,0.941,0.964,0.943,0.881,0.963,0.950
1,NCIH1650,MK-8776,0.45,1.013,0.837,0.788,0.839,0.904,0.904,0.894,0.863
1,NCIH1650,MK-8776,1.4,0.616,0.648,0.658,0.730,0.628,0.597,0.652,0.618
1,NCIH1650,MK-8776,4,0.575,0.606,0.409,0.541,0.543,0.604,0.551,0.537
1,NCIH2122,MK-8776,0.0019,1.132,1.065,1.126,1.040,0.924,1.072,1.030,1.042
1,NCIH2122,MK-8776,0.0055,1.058,1.076,1.050,1.032,0.952,0.983,1.018,1.026
1,NCIH2122,MK-8776,0.017,1.049,0.970,1.138,1.031,0.973,0.918,1.001,1.001
1,NCIH2122,MK-8776,0.05,1.110,0.976,1.042,1.009,0.965,0.934,0.997,0.995
1,NCIH2122,MK-8776,0.15,0.972,0.966,1.085,1.058,0.923,0.799,0.986,0.981
1,NCIH2122,MK-8776,0.45,0.417,0.400,0.462,0.570,0.416,0.559,0.629,0.598
1,NCIH2122,MK-8776,1.4,0.122,0.088,0.097,0.127,0.102,0.111,-0.012,0.246
1,NCIH2122,MK-8776,4,0.077,0.098,0.078,0.102,0.091,0.102,-0.068,0.228
1,NCIH23,MK-8776,0.0019,1.076,0.937,0.939,1.013,0.998,0.996,0.999,0.998
1,NCIH23,MK-8776,0.0055,1.008,0.965,1.135,1.074,1.037,1.029,1.015,1.021
1,NCIH23,MK-8776,0.017,0.914,1.011,0.961,1.135,0.939,0.875,0.976,0.967
1,NCIH23,MK-8776,0.05,1.064,0.973,0.996,0.914,0.971,0.899,0.987,0.982
1,NCIH23,MK-8776,0.15,0.851,0.891,0.913,0.996,0.785,0.868,0.940,0.920
1,NCIH23,MK-8776,0.45,0.540,0.693,0.393,0.388,0.586,0.589,0.731,0.688
1,NCIH23,MK-8776,1.4,0.099,0.115,0.169,0.179,0.034,0.173,0.085,0.281
1,NCIH23,MK-8776,4,0.182,0.154,0.166,0.186,0.182,0.185,0.202,0.331
1,NCIH460,MK-8776,0.0019,0.926,0.945,0.980,0.989,0.895,0.943,0.962,0.949
1,NCIH460,MK-8776,0.0055,0.901,1.034,1.008,0.966,1.017,1.021,1.008,1.011
1,NCIH460,MK-8776,0.017,0.916,0.948,1.054,1.067,0.922,0.948,0.965,0.952
1,NCIH460,MK-8776,0.05,0.933,0.941,0.960,1.034,0.974,1.050,0.978,0.970
1,NCIH460,MK-8776,0.15,1.025,1.038,0.926,0.980,0.885,0.940,0.973,0.963
1,NCIH460,MK-8776,0.45,1.051,1.028,1.004,1.006,0.949,1.040,1.011,1.016
1,NCIH460,MK-8776,1.4,0.994,1.048,0.861,0.948,0.935,0.935,0.960,0.947
1,NCIH460,MK-8776,4,0.931,0.902,0.724,0.862,0.839,0.879,0.908,0.881
1,NCIH520,MK-8776,0.0019,1.040,0.935,1.479,1.007,1.085,0.720,1.009,1.013
1,NCIH520,MK-8776,0.0055,1.187,1.030,1.160,1.071,1.095,1.022,1.031,1.045
1,NCIH520,MK-8776,0.017,0.937,0.785,1.085,0.879,0.992,0.959,0.979,0.971
1,NCIH520,MK-8776,0.05,1.045,1.168,0.993,0.811,1.170,1.229,1.040,1.057
1,NCIH520,MK-8776,0.15,0.932,1.001,0.945,1.095,0.777,0.797,0.975,0.966
1,NCIH520,MK-8776,0.45,1.089,0.980,0.806,0.690,0.865,0.923,0.956,0.940
1,NCIH520,MK-8776,1.4,0.617,0.709,0.628,0.856,0.886,0.570,0.841,0.802
1,NCIH520,MK-8776,4,0.722,0.720,0.663,0.639,0.666,0.632,0.839,0.799
1,OCUBM,MK-8776,0.0019,0.926,1.157,1.073,1.013,0.983,1.077,1.047,1.068
1,OCUBM,MK-8776,0.0055,1.148,1.080,1.134,1.012,1.122,0.963,1.108,1.162
1,OCUBM,MK-8776,0.017,1.039,0.994,1.131,1.230,1.018,0.835,1.032,1.045
1,OCUBM,MK-8776,0.05,0.874,0.958,0.974,0.977,1.121,0.923,0.961,0.948
1,OCUBM,MK-8776,0.15,0.973,1.097,0.876,0.931,0.836,0.845,0.886,0.854
1,OCUBM,MK-8776,0.45,0.815,0.691,0.612,0.800,0.746,0.835,0.710,0.669
1,OCUBM,MK-8776,1.4,0.704,0.742,0.661,0.678,0.592,0.632,0.548,0.534
1,OCUBM,MK-8776,4,0.730,0.637,0.615,0.682,0.628,0.601,0.483,0.488
1,OV90,MK-8776,0.0019,1.045,1.046,1.012,0.985,0.947,0.933,0.999,0.999
1,OV90,MK-8776,0.0055,1.057,1.022,1.043,1.104,1.015,1.029,1.028,1.039
1,OV90,MK-8776,0.017,0.895,1.049,0.975,0.948,1.009,0.978,0.981,0.974
1,OV90,MK-8776,0.05,0.948,0.909,1.014,1.082,1.026,0.970,0.993,0.991
1,OV90,MK-8776,0.15,1.092,0.961,0.928,1.083,1.011,0.828,0.989,0.985
